# Definitive index of every released differential extraction (release 2026-09-04).
# One row per extraction; A_C / curves / cov files are all present for each. total_pct is the
# prediction-total fractional uncertainty (bin-averaged, excluding data statistics); chi2/p are the
# closure against the realised fake-data truth with the full covariance. The six one-bin totals are
# indexed separately in total_xsec.tsv.
tag	family	config	observable	bins	sigma_int	total_pct	detVar_pct	chi2	p	A_C	curves	cov_components	status
1p_RHCFULL_costhpi	1p	RHCFULL	costhpi	4	3.6480e-01	76.0	51.3	6.010	0.198	A_C_1p_RHCFULL_costhpi.tsv	curves_1p_RHCFULL_costhpi.tsv	42	secondary
1p_RHCFULL_dalphat2bin	1p	RHCFULL	dalphat2bin	2	4.3840e-01	40.9	23.0	0.186	0.911	A_C_1p_RHCFULL_dalphat2bin.tsv	curves_1p_RHCFULL_dalphat2bin.tsv	42	secondary
1p_RHCFULL_dphit2bin	1p	RHCFULL	dphit2bin	2	3.8930e-01	90.7	68.4	0.104	0.949	A_C_1p_RHCFULL_dphit2bin.tsv	curves_1p_RHCFULL_dphit2bin.tsv	42	secondary
1p_RHCFULL_dpt2bin	1p	RHCFULL	dpt2bin	2	4.1790e-01	55.8	34.5	0.517	0.772	A_C_1p_RHCFULL_dpt2bin.tsv	curves_1p_RHCFULL_dpt2bin.tsv	42	secondary
1p_RHCFULL_pmu	1p	RHCFULL	pmu	7	3.7970e-01	53.5	30.7	3.796	0.803	A_C_1p_RHCFULL_pmu.tsv	curves_1p_RHCFULL_pmu.tsv	42	secondary
1p_RHCFULL_pn2bin	1p	RHCFULL	pn2bin	2	3.9120e-01	120.2	74.5	1.061	0.588	A_C_1p_RHCFULL_pn2bin.tsv	curves_1p_RHCFULL_pn2bin.tsv	42	secondary
1p_RHCFULL_ppi2bin	1p	RHCFULL	ppi2bin	2	4.2930e-01	107.9	70.1	1.208	0.547	A_C_1p_RHCFULL_ppi2bin.tsv	curves_1p_RHCFULL_ppi2bin.tsv	42	primary (two-bin, coarse)
1p_RHCFULL_thmupi	1p	RHCFULL	thmupi	5	3.6700e-01	45.0	21.7	0.143	1.000	A_C_1p_RHCFULL_thmupi.tsv	curves_1p_RHCFULL_thmupi.tsv	42	secondary
incl_COMB_costhmu	incl	COMB	costhmu	5	8.1250e-01	37.3	23.8	0.045	1.000	A_C_incl_COMB_costhmu.tsv	curves_incl_COMB_costhmu.tsv	42	primary
incl_COMB_costhpi	incl	COMB	costhpi	5	6.5810e-01	37.1	22.5	0.735	0.981	A_C_incl_COMB_costhpi.tsv	curves_incl_COMB_costhpi.tsv	42	primary
